Place ID,Place Name,City,Category,Address,Latitude,Longitude,Types,Average Rating,Total Review Count,Price Level
ChIJRz9VU0aJKBUR_XWV6jxQFZM,Bizbize Balıkevi Restoran Adana | Adana Balık Restaurant,Adana,Seafood Restaurant,"Güzelyalı, Süleyman Demirel Blv. 3-1, 01170 Çukurova/Adana, Türkiye",37.0536114,35.2893956,"seafood_restaurant, restaurant, point_of_interest, food, establishment",4.7,1996.0,PRICE_LEVEL_INEXPENSIVE
ChIJAeiGSTaJKBURVc7s9NlEZxA,Roka Balık Restaurant,Adana,Seafood Restaurant,"Güzelyalı Mahallesi Süleyman Demirel Bulvarı, İsmail Kulak Anadolu Lisesi, Güzelyalı, karşısı, 01170 Çukurova/Adana, Türkiye",37.0521812,35.2921755,"restaurant, point_of_interest, food, establishment",3.0,712.0,PRICE_LEVEL_EXPENSIVE
ChIJTXX0BF2JKBURCyNsCh_VPeY,Güverte,Adana,Seafood Restaurant,"Karslılar, Adnan Menderes Blv. No:1, 01170 Çukurova/Adana, Türkiye",37.0650066,35.282947,"restaurant, point_of_interest, food, establishment",4.7,1084.0,PRICE_LEVEL_EXPENSIVE
ChIJyeobDUGPKBURUBp1Mg69RGo,SERBALIK,Adana,Seafood Restaurant,"Kurtuluş Şinasi Efendi Caddesi No:3 D:G-F, Kurtuluş, 01130 Seyhan/Adana, Türkiye",36.9992875,35.321322900000006,"restaurant, kebab_shop, seafood_restaurant, point_of_interest, food, establishment",5.0,1931.0,PRICE_LEVEL_EXPENSIVE
ChIJj27aqW-JKBURFVKHg4QiR8g,Cihan Balık Pirzola,Adana,Seafood Restaurant,"Kurttepe, 83085. Sk. No:5, 01170 Çukurova/Adana, Türkiye",37.0645095,35.2723307,"restaurant, point_of_interest, food, establishment",4.5,219.0,PRICE_LEVEL_MODERATE
ChIJE3ySnvqJKBURfLBE-6UyKIM,Eski foca balık Restuarant,Adana,Seafood Restaurant,"Gürselpaşa, Aliya İzzet Begoviç Blv, 01200 Seyhan/Adana, Türkiye",37.0211681,35.261464499999995,"family_restaurant, restaurant, point_of_interest, food, establishment",4.5,135.0,PRICE_LEVEL_MODERATE
ChIJR_QqJkKPKBUR-xWe3iAqELg,Resif Balık Adana,Adana,Seafood Restaurant,"CEMALPAŞA MAH. VALİ YOLU CAD. SÜMER TOWERS B BLOK NO: 27 /1B, Cemalpaşa, 01120 Seyhan/Adana, Türkiye",37.000405,35.3303654,"restaurant, point_of_interest, food, establishment",2.7,501.0,PRICE_LEVEL_MODERATE
ChIJdbBsRbOFKBUR0OV_iDDYiQY,Avcı Balıkçılık,Adana,Seafood Restaurant,"Mıdık, Şht. Astğm. Kemal Yüzgeç Blv., 01030 Seyhan/Adana, Türkiye",36.9532507,35.313741,"fine_dining_restaurant, meal_takeaway, food_store, store, restaurant, point_of_interest, food, establishment",3.7,1542.0,PRICE_LEVEL_INEXPENSIVE
ChIJ4cw0dFqJKBURsnmvPxp8S-A,DALYAN BALIK,Adana,Seafood Restaurant,"Karslılar Mah. Adnan Menderes Blv, Karslılar, 82002. Sk. no: 103/A, 01170 Çukurova/Adana, Türkiye",37.063013,35.2912438,"restaurant, point_of_interest, food, establishment",2.2,969.0,PRICE_LEVEL_EXPENSIVE
ChIJQfS8o1CJKBURZbeWuBVPFcc,Altın Balık,Adana,Seafood Restaurant,"Karslılar, 82002. Sk. No: 101/A, 01170 Çukurova/Adana, Türkiye",37.0632529,35.2923468,"restaurant, point_of_interest, food, establishment",2.3,979.0,PRICE_LEVEL_VERY_EXPENSIVE
ChIJl5Jf_MSJKBURoOrFwtD2jKA,Anka Balık,Adana,Seafood Restaurant,"Karslılar, Adnan Menderes Blv. 101/a, 01170 Çukurova/Adana, Türkiye",37.0629838,35.2912724,"restaurant, point_of_interest, food, establishment",5.0,590.0,PRICE_LEVEL_INEXPENSIVE
